"X","listing_id","host_id","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","capped_price","capped_minimum_nights","afinnsentiment","bingsentiment","nrcsentiment","ave_sentiment"
1,1419,1565,"Little Portugal",43.64617,-79.42451,"Entire home/apt",470,4,7,"2017-12-04",0.12,1,350,4,73,33,27,0.357574281721985
2,8077,22795,"Waterfront Communities-The Island",43.64105,-79.37628,"Private room",105,180,169,"2013-08-27",1.3,2,105,70,1436,665,665,0.389126644760224
4,23691,93825,"Briar Hill-Belgravia",43.69602,-79.45468,"Private room",72,1,217,"2019-12-22",1.79,2,72,1,1486,775,722,0.41847206846134
5,26654,113345,"Waterfront Communities-The Island",43.6453,-79.3894,"Entire home/apt",169,4,40,"2020-03-20",0.35,5,169,4,246,117,120,0.353916518294545
6,27423,118124,"Greenwood-Coxwell",43.6689,-79.32592,"Entire home/apt",53,120,26,"2011-08-30",0.22,1,53,70,218,108,107,0.358044745987906
7,28160,86838,"Mount Pleasant West",43.7041,-79.39026,"Entire home/apt",60,120,7,"2018-10-17",0.12,1,60,70,70,36,40,0.346587185157411
8,30931,22795,"Waterfront Communities-The Island",43.64151,-79.37643,"Entire home/apt",141,180,1,"2010-08-11",0.01,2,141,70,7,4,4,0.239368854074676
9,40456,174063,"South Parkdale",43.63532,-79.44049,"Entire home/apt",100,28,110,"2020-03-25",0.93,5,100,28,772,384,357,0.348269365032669
10,41887,183071,"Oakridge",43.69466,-79.28667,"Entire home/apt",69,2,82,"2019-09-02",1.95,2,69,2,358,184,146,0.338032651495178
12,43964,192364,"Wexford/Maryvale",43.74948,-79.29147,"Private room",90,2,30,"2019-08-05",0.74,1,90,2,180,94,80,0.440176613615793
13,44452,195095,"Rosedale-Moore Park",43.67185,-79.38583,"Entire home/apt",119,1,50,"2019-12-24",0.43,11,119,1,189,96,82,0.271991208966281
14,45399,195095,"Church-Yonge Corridor",43.65972,-79.38172,"Entire home/apt",119,1,78,"2019-11-07",0.67,11,119,1,304,178,173,0.342894953962643
15,45893,195095,"Rosedale-Moore Park",43.67105,-79.38481,"Private room",84,1,18,"2019-06-01",0.15,11,84,1,85,34,29,0.39953491751595
16,50110,195095,"Church-Yonge Corridor",43.66899,-79.38548,"Entire home/apt",119,1,56,"2020-02-08",0.49,11,119,1,289,150,143,0.418391323645636
17,51616,237587,"Niagara",43.64296,-79.40451,"Private room",55,91,24,"2018-11-11",0.53,1,55,70,118,72,42,0.462047242919186
19,60244,239992,"Blake-Jones",43.67618,-79.34357,"Private room",60,1,4,"2011-08-08",0.04,1,60,1,30,14,19,0.346315228892576
20,62545,304551,"Niagara",43.6458,-79.40769,"Private room",65,10,23,"2019-12-20",0.2,3,65,10,174,91,82,0.392120670425265
21,65238,318911,"Palmerston-Little Italy",43.65853,-79.42709,"Private room",56,2,69,"2020-03-20",0.63,2,56,2,745,384,331,0.429100724806445
22,69464,195095,"Rosedale-Moore Park",43.67094,-79.38581,"Entire home/apt",100,1,50,"2020-04-30",0.44,11,100,1,211,113,113,0.375361513727261
23,75051,368707,"Dufferin Grove",43.65956,-79.43228,"Entire home/apt",149,6,273,"2020-01-26",2.45,2,149,6,2638,1297,1315,0.408273560573353
24,82694,431260,"Niagara",43.64171,-79.40469,"Entire home/apt",108,30,29,"2016-09-23",0.26,1,108,30,191,100,90,0.382077730635918
25,84076,544254,"Niagara",43.64457,-79.40451,"Entire home/apt",145,3,6,"2018-08-20",0.07,1,145,3,31,9,13,0.215204781706223
26,89575,93825,"Briar Hill-Belgravia",43.69662,-79.45325,"Private room",62,1,88,"2019-10-24",0.85,2,62,1,465,254,242,0.38145726418586
27,96336,511506,"Niagara",43.64458,-79.41022,"Entire home/apt",219,3,122,"2019-12-29",1.53,1,219,3,1054,555,439,0.386272299817514
28,98136,518383,"Waterfront Communities-The Island",43.63266,-79.35616,"Entire home/apt",299,2,57,"2019-05-20",0.53,1,350,2,597,299,267,0.412948814328791
29,104096,349172,"South Riverdale",43.66527,-79.32934,"Entire home/apt",174,5,18,"2019-08-03",0.17,1,174,5,195,87,100,0.37249877703073
30,104722,455397,"Annex",43.67175,-79.40398,"Entire home/apt",160,2,6,"2018-10-08",0.11,1,160,2,72,35,25,0.449997627792068
31,112842,575127,"High Park North",43.65623,-79.46667,"Entire home/apt",63,180,12,"2017-03-05",0.12,1,63,70,96,60,63,0.429733515657144
32,113175,576192,"Waterfront Communities-The Island",43.64123,-79.39339,"Entire home/apt",105,28,35,"2020-01-18",0.32,1,105,28,204,105,121,0.323364290106681
33,119441,174063,"South Parkdale",43.63559,-79.44048,"Entire home/apt",125,30,78,"2019-10-05",0.72,5,125,30,533,281,304,0.345178605948604
34,122492,613837,"Danforth East York",43.68872,-79.3299,"Entire home/apt",89,7,108,"2020-03-01",1.26,1,89,7,686,389,371,0.380663465508111
35,127380,630920,"Yonge-Eglinton",43.7037,-79.4082,"Private room",60,1,144,"2020-02-08",1.37,1,60,1,827,440,380,0.391872632786785
36,131401,604233,"Niagara",43.63743,-79.40104,"Entire home/apt",59,10,7,"2020-03-31",0.12,1,59,10,18,17,20,0.488259122402381
37,137099,149566,"Palmerston-Little Italy",43.65781,-79.42065,"Entire home/apt",350,5,10,"2017-08-12",0.1,2,350,5,88,46,48,0.376884565555552
38,138613,676621,"Little Portugal",43.64776,-79.42709,"Entire home/apt",180,3,5,"2016-10-07",0.05,1,180,3,20,14,10,0.297171204859615
39,146601,436139,"Waterfront Communities-The Island",43.64551,-79.39274,"Entire home/apt",119,6,7,"2015-06-28",0.07,1,119,6,77,44,46,0.413221414803586
40,148945,718884,"Waterfront Communities-The Island",43.64835,-79.36302,"Private room",91,3,27,"2019-12-29",0.25,1,91,3,231,114,62,0.346494606692223
41,149420,666759,"High Park-Swansea",43.64618,-79.48833,"Entire home/apt",80,4,35,"2020-03-28",0.37,1,80,4,301,160,136,0.406272418577972
42,150281,724179,"Kensington-Chinatown",43.64864,-79.40415,"Entire home/apt",153,30,19,"2017-04-16",0.32,1,153,30,87,44,46,0.394009579105877
43,153000,735795,"Waterfront Communities-The Island",43.64366,-79.39155,"Entire home/apt",200,3,54,"2020-01-30",0.5,1,200,3,320,169,191,0.308980195771737
44,179217,857989,"Downsview-Roding-CFB",43.7407,-79.48818,"Private room",80,2,16,"2019-08-05",0.23,1,80,2,103,42,63,0.418422200878606
46,182573,591649,"Humewood-Cedarvale",43.68683,-79.42274,"Entire home/apt",70,5,23,"2019-09-11",0.23,2,70,5,249,114,130,0.311443055965018
47,184784,656777,"Church-Yonge Corridor",43.66932,-79.38525,"Entire home/apt",200,180,62,"2020-04-04",0.59,1,200,70,538,266,227,0.39341618522587
48,196584,957466,"Oakridge",43.69447,-79.28794,"Entire home/apt",79,7,16,"2020-01-31",0.35,1,79,7,134,77,89,0.379378726873181
49,207206,1019538,"Little Portugal",43.64589,-79.43464,"Entire home/apt",250,4,17,"2015-08-08",0.17,2,250,4,136,66,58,0.437291158921895
50,209226,1028504,"Niagara",43.63598,-79.41468,"Entire home/apt",145,28,36,"2019-12-16",0.38,1,145,28,216,119,97,0.440634914530344
51,210277,240107,"Waterfront Communities-The Island",43.64443,-79.3968,"Entire home/apt",98,2,18,"2020-03-04",0.17,1,98,2,109,67,58,0.460633337402337
52,224740,1169979,"North Riverdale",43.67523,-79.34627,"Entire home/apt",225,2,18,"2019-10-05",0.31,2,225,2,95,36,55,0.217077746517522
53,224775,1170217,"Church-Yonge Corridor",43.66168,-79.37937,"Private room",90,7,28,"2020-04-15",0.47,2,90,7,198,86,103,0.402943683034457
54,228568,934821,"North St.James Town",43.66771,-79.37679,"Entire home/apt",401,3,55,"2018-09-11",0.54,2,350,3,415,245,195,0.354164910618454
55,229913,1200620,"Niagara",43.63479,-79.39957,"Entire home/apt",325,60,10,"2017-08-26",0.12,1,350,60,68,39,40,0.351444812868528
57,232794,1218097,"Annex",43.67108,-79.39038,"Entire home/apt",207,28,6,"2020-03-18",0.07,1,207,28,26,15,11,0.44634676615741
