id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.64617,-79.42451,Entire home/apt,470,4,7,2017-12-04,0.12,1,0
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64105,-79.37628,Private room,105,180,169,2013-08-27,1.30,2,0
12604,Seaton Village Parlour Bedroom,48239,Rona,,Annex,43.66724,-79.41598,Private room,70,1,0,,,1,0
23691,Queen Bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69602,-79.45468,Private room,72,1,217,2019-12-22,1.79,2,0
26654,World Class downtown @CN Tower Theatre MTCC games!,113345,Adela,,Waterfront Communities-The Island,43.6453,-79.3894,Entire home/apt,169,4,40,2020-03-20,0.35,5,365
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,Greenwood-Coxwell,43.6689,-79.32592,Entire home/apt,53,120,26,2011-08-30,0.22,1,0
28160,"Luxury, Safety, Affordability For Women Travelers!",86838,Rita,,Mount Pleasant West,43.7041,-79.39026,Entire home/apt,60,120,7,2018-10-17,0.12,1,358
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64151,-79.37643,Entire home/apt,141,180,1,2010-08-11,0.01,2,365
40456,Downtown 2  Bdr.Apt with King Size Bed and Parking,174063,Denis,,South Parkdale,43.63532,-79.44049,Entire home/apt,100,28,110,2020-03-25,0.93,5,342
41887,Great location,183071,Kyle,,Oakridge,43.69466,-79.28667,Entire home/apt,69,2,82,2019-09-02,1.95,2,281
42892,"3 Beds: Modern High Floor next to CN Tower, Union",187320,Downtown Suite Living,,Waterfront Communities-The Island,43.64451,-79.38185,Entire home/apt,135,60,0,,,13,365
43964,Bright entire 2-bedrm basement suite private entry,192364,Mitra,,Wexford/Maryvale,43.74948,-79.29147,Private room,90,2,30,2019-08-05,0.74,1,363
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67185,-79.38583,Entire home/apt,119,1,50,2019-12-24,0.43,11,307
45399,Fountain View Studio - Eaton center,195095,Urbano,,Church-Yonge Corridor,43.65972,-79.38172,Entire home/apt,119,1,78,2019-11-07,0.67,11,365
45893,Yonge & Bloor Lakeview Master BR  ,195095,Urbano,,Rosedale-Moore Park,43.67105,-79.38481,Private room,84,1,18,2019-06-01,0.15,11,302
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66899,-79.38548,Entire home/apt,119,1,56,2020-02-08,0.49,11,344
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.64296,-79.40451,Private room,55,91,24,2018-11-11,0.53,1,179
57483,"Downtown 3 Bed @ Union, Scotiabank Arena, CN Tower",187320,Downtown Suite Living,,Waterfront Communities-The Island,43.64214,-79.37994,Entire home/apt,174,60,0,,,13,179
60244,Cozy in the City,239992,Amanda,,Blake-Jones,43.67618,-79.34357,Private room,60,1,4,2011-08-08,0.04,1,365
62545,Furnished Heritage Rooms Downtown 1,304551,Kintoo,,Niagara,43.6458,-79.40769,Private room,65,10,23,2019-12-20,0.20,3,304
65238,Zen South Facing Bedroom in Quiet Art-Filled Home,318911,Magali,,Palmerston-Little Italy,43.65853,-79.42709,Private room,56,2,69,2020-03-20,0.63,2,292
69464,Yonge & Bloor one bedroom Condo,195095,Urbano,,Rosedale-Moore Park,43.67094,-79.38581,Entire home/apt,100,1,50,2020-04-30,0.44,11,330
75051,"GreatSpace,Backyard, 5min to Subway",368707,Sandra,,Dufferin Grove,43.65956,-79.43228,Entire home/apt,149,6,273,2020-01-26,2.45,2,128
82694,Luxury Hotel Downtown Living !!,431260,Caterina,,Niagara,43.64171,-79.40469,Entire home/apt,108,30,29,2016-09-23,0.26,1,362
84076,A short walk to TIFF,544254,Darryl,,Niagara,43.64457,-79.40451,Entire home/apt,145,3,6,2018-08-20,0.07,1,0
89575,Private bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69662,-79.45325,Private room,62,1,88,2019-10-24,0.85,2,84
96336,John & Bren's Queen West 3 bedroom townhouse,511506,John,,Niagara,43.64458,-79.41022,Entire home/apt,219,3,122,2019-12-29,1.53,1,245
98136,Two Bedroom House on Toronto Island,518383,Anthea,,Waterfront Communities-The Island,43.63266,-79.35616,Entire home/apt,299,2,57,2019-05-20,0.53,1,88
104096,Hip and modern family-friendly home,349172,Avery,,South Riverdale,43.66527,-79.32934,Entire home/apt,174,5,18,2019-08-03,0.17,1,269
104722,Annex apartment - with great deck!,455397,Carly,,Annex,43.67175,-79.40398,Entire home/apt,160,2,6,2018-10-08,0.11,1,0
112842,Gorgeous Condo near High Park!!,575127,Micheline,,High Park North,43.65623,-79.46667,Entire home/apt,63,180,12,2017-03-05,0.12,1,365
113175,Best luxury location in downtown Toronto!,576192,Faria,,Waterfront Communities-The Island,43.64123,-79.39339,Entire home/apt,105,28,35,2020-01-18,0.32,1,310
119441,STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,174063,Denis,,South Parkdale,43.63559,-79.44048,Entire home/apt,125,30,78,2019-10-05,0.72,5,364
122492,Sunny & Stylish Aprtmnt w easy access to dwntwn,613837,Brett,,Danforth East York,43.68872,-79.3299,Entire home/apt,89,7,108,2020-03-01,1.26,1,0
127380,"pleasant apt, centrally located",630920,Peggy,,Yonge-Eglinton,43.7037,-79.4082,Private room,60,1,144,2020-02-08,1.37,1,364
131401,WATERFRONT LUXURY SUITE - DOWNTOWN,604233,WaterfrontExecSuites,,Niagara,43.63743,-79.40104,Entire home/apt,59,10,7,2020-03-31,0.12,1,41
137099,Beautiful 3 Bedroom Home in Little Italy!,149566,Vinita + Joe,,Palmerston-Little Italy,43.65781,-79.42065,Entire home/apt,350,5,10,2017-08-12,0.10,2,316
138613,Warm Family Home Downtown Toronto,676621,Jodi,,Little Portugal,43.64776,-79.42709,Entire home/apt,180,3,5,2016-10-07,0.05,1,0
146601,Modern 1BR Downtown - Blue Jays Way,436139,Brian,,Waterfront Communities-The Island,43.64551,-79.39274,Entire home/apt,119,6,7,2015-06-28,0.07,1,126
148945,Downtown Toronto Near Lake Ontario,718884,John,,Waterfront Communities-The Island,43.64835,-79.36302,Private room,91,3,27,2019-12-29,0.25,1,242
149420,Bloor West Village 1 Bedroom ,666759,Jeannie,,High Park-Swansea,43.64618,-79.48833,Entire home/apt,80,4,35,2020-03-28,0.37,1,219
150281,"Spacious 2 Bed UofT, King West, Exceptional Loft",724179,Paige,,Kensington-Chinatown,43.64864,-79.40415,Entire home/apt,153,30,19,2017-04-16,0.32,1,340
153000,"1,100SqFt. 2B+Den Spacious Green Condo",735795,Raj,,Waterfront Communities-The Island,43.64366,-79.39155,Entire home/apt,200,3,54,2020-01-30,0.50,1,216
179217,Experience Downsview Park,857989,Charlene,,Downsview-Roding-CFB,43.7407,-79.48818,Private room,80,2,16,2019-08-05,0.23,1,356
